Prop ID,Prop Name,Prop City,Live Date,RM,PM,Total Inventory,Avali,Inv Status,Head,MTD - FH Occ,Jan-2026 Ach ADR,STLM ADR,Feb-2026 MTD ADR,LM Vs CM ADR MTD,STLM,Feb-2026 MTD Rev,LM Vs CM MTD,Jan-2026 Ach Rev,Monthly Target,Monthly RR,Achievement,Target delta,Grid Status,MTD CTF,Bucket,CM Pricing Forms Count,L30D Pricing Forms Count,Days Since Last Pricing Form,MM,City Tag,Set,CAT
1044873,FabHotel JAS Holidays,Goa,29-Oct-2025,Dev Raj,Keshav Gauba,10,10,Live,Arun Biyani,0.00%,2393.9,2674.7,#DIV/0!,-,0.24,0,-100.0% ▼,0.26,0.39,0,0.00%,-0.39,No Grid,,0-10%,1,3,8,Morjim,Leisure,PostSet,Category C
1044874,FabHotel Expo Centre Inn,Greater Noida,28-Oct-2025,Sanskar,Keshav Gauba,32,32,Live,Arun Biyani,0.00%,1895.4,2339.7,1569.9,-32.9% ▼,0.51,0.19,-63.4% ▼,1.08,1.9,0.53,27.76%,-1.37,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,1,9,1,Knowledge Park 3,Business,PostSet,Category A
1044878,FabHotel Decent,New Delhi,28-Oct-2025,Aditya,Keshav Gauba,18,18,Churned,Arun Biyani,0.00%,1210.8,1237.3,#DIV/0!,-,0.07,0,-100.0% ▼,0.13,0,0,-,0,Live,,0-10%,#N/A,,,Vikaspuri,Metro,PostSet,Category C
1044883,FabHotel Shivay Inactive,Bhopal,28-Oct-2025,Harsh Gupta,Keshav Gauba,12,12,Churned,Arun Biyani,0.00%,878,878,#DIV/0!,-,0.04,0,-100.0% ▼,0.04,0,0,-,0,Live,,0-10%,#N/A,,,Ayodhya Nagar,Business,PostSet,Category C
1044884,FabHotel Zelosena,Goa,28-Oct-2025,Dev Raj,Keshav Gauba,15,0,Churned,Arun Biyani,0.00%,3810,3810,#DIV/0!,-,0.11,0,-100.0% ▼,0.11,0,0,-,0,Live,,0-10%,#N/A,,,Calangute,Leisure,PostSet,Category C
1044885,FabHotel Radha Madhav,Pune,29-Oct-2025,Simpi,Keshav Gauba,10,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,Live,,0-10%,#N/A,,,Aundh,Metro,PostSet,Category B
1044888,FabHotel Freedom Star,Mumbai,29-Oct-2025,Mayank,Keshav Gauba,15,15,Live,Arun Biyani,0.00%,2479.9,2344.5,2870.3,22.4% ▲,0.98,1.84,86.6% ▲,4.86,3,5.14,171.45%,2.14,No Grid,,0-10%,1,4,9,Vile Parle East,Metro,PostSet,Category A
1044892,FabHotel The GK Residency,New Delhi,29-Oct-2025,Aditya,Keshav Gauba,9,9,Live,Arun Biyani,0.00%,1907.3,2011,1977.4,-1.7% ▼,0.04,0.42,932.5% ▲,0.11,0.64,1.16,181.68%,0.52,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,2,4,1,Greater Kailash Enclave I,Metro,PostSet,Category B
1044895,FabHotel SK OAK Suites,Bangalore,29-Oct-2025,Dev Raj,Keshav Gauba,24,24,Live,Arun Biyani,0.00%,1847.5,1513.9,2180.4,44.0% ▲,0.17,0.17,4.7% ▲,0.37,0.81,0.49,60.30%,-0.32,PRICE_DECREASE_10_PERCENT_3PM,,0-10%,2,3,5,RR Nagar,Metro,PostSet,Category B
1044899,FabHotel Happy Residency,New Delhi,28-Oct-2025,Aditya,Keshav Gauba,18,18,Live,Arun Biyani,0.00%,1701,1522,1472.2,-3.3% ▼,0.09,0.07,-19.4% ▼,0.36,0.62,0.21,33.24%,-0.41,No Grid,,0-10%,0,2,20,Saket Metro Station,Metro,PostSet,Category B
